isChapter, link, compareLink, text, isChildLink, similarHrefCount, containsChapter, endsWithNumber
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-137,chapter/return-of-immortal-emperor/chapter-137,#137 - Chapter 13710-22-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-136,chapter/return-of-immortal-emperor/chapter-136,#136 - Chapter 13610-22-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-135,chapter/return-of-immortal-emperor/chapter-135,#135 - Chapter 13510-20-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-134,chapter/return-of-immortal-emperor/chapter-134,#134 - Chapter 13410-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-133,chapter/return-of-immortal-emperor/chapter-133,#133 - Chapter 13310-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-132,chapter/return-of-immortal-emperor/chapter-132,#132 - Chapter 13210-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-131,chapter/return-of-immortal-emperor/chapter-131,#131 - Chapter 13110-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-130,chapter/return-of-immortal-emperor/chapter-130,#130 - Chapter 13010-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-129,chapter/return-of-immortal-emperor/chapter-129,#129 - Chapter 12910-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-128,chapter/return-of-immortal-emperor/chapter-128,#128 - Chapter 12810-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-127,chapter/return-of-immortal-emperor/chapter-127,#127 - Chapter 12710-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-126,chapter/return-of-immortal-emperor/chapter-126,#126 - Chapter 12610-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-125,chapter/return-of-immortal-emperor/chapter-125,#125 - Chapter 12510-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-124,chapter/return-of-immortal-emperor/chapter-124,#124 - Chapter 12410-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-123,chapter/return-of-immortal-emperor/chapter-123,#123 - Chapter 12310-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-122,chapter/return-of-immortal-emperor/chapter-122,#122 - Chapter 12210-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-121,chapter/return-of-immortal-emperor/chapter-121,#121 - Chapter 12110-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-120,chapter/return-of-immortal-emperor/chapter-120,#120 - Chapter 12010-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-119,chapter/return-of-immortal-emperor/chapter-119,#119 - Chapter 11910-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-118,chapter/return-of-immortal-emperor/chapter-118,#118 - Chapter 11810-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-117,chapter/return-of-immortal-emperor/chapter-117,#117 - Chapter 11710-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-116,chapter/return-of-immortal-emperor/chapter-116,#116 - Chapter 11610-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-115,chapter/return-of-immortal-emperor/chapter-115,#115 - Chapter 11510-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-114,chapter/return-of-immortal-emperor/chapter-114,#114 - Chapter 11410-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-113,chapter/return-of-immortal-emperor/chapter-113,#113 - Chapter 11310-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-112,chapter/return-of-immortal-emperor/chapter-112,#112 - Chapter 11210-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-111,chapter/return-of-immortal-emperor/chapter-111,#111 - Chapter 11110-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-110,chapter/return-of-immortal-emperor/chapter-110,#110 - Chapter 11010-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-109,chapter/return-of-immortal-emperor/chapter-109,#109 - Chapter 10910-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-108,chapter/return-of-immortal-emperor/chapter-108,#108 - Chapter 10810-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-107,chapter/return-of-immortal-emperor/chapter-107,#107 - Chapter 10710-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-106,chapter/return-of-immortal-emperor/chapter-106,#106 - Chapter 10610-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-105,chapter/return-of-immortal-emperor/chapter-105,#105 - Chapter 10510-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-104,chapter/return-of-immortal-emperor/chapter-104,#104 - Chapter 10410-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-103,chapter/return-of-immortal-emperor/chapter-103,#103 - Chapter 10310-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-102,chapter/return-of-immortal-emperor/chapter-102,#102 - Chapter 10210-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-101,chapter/return-of-immortal-emperor/chapter-101,#101 - Chapter 10110-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-100,chapter/return-of-immortal-emperor/chapter-100,#100 - Chapter 10010-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-99,chapter/return-of-immortal-emperor/chapter-99,#99 - Chapter 9910-07-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-98,chapter/return-of-immortal-emperor/chapter-98,#98 - Chapter 9810-07-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-97,chapter/return-of-immortal-emperor/chapter-97,#97 - Chapter 9710-07-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-96,chapter/return-of-immortal-emperor/chapter-96,#96 - Chapter 9610-07-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-95,chapter/return-of-immortal-emperor/chapter-95,#95 - Chapter 9510-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-94,chapter/return-of-immortal-emperor/chapter-94,#94 - Chapter 9410-07-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-93,chapter/return-of-immortal-emperor/chapter-93,#93 - Chapter 9310-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-92,chapter/return-of-immortal-emperor/chapter-92,#92 - Chapter 9210-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-91,chapter/return-of-immortal-emperor/chapter-91,#91 - Chapter 9110-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-90,chapter/return-of-immortal-emperor/chapter-90,#90 - Chapter 9010-06-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-89,chapter/return-of-immortal-emperor/chapter-89,#89 - Chapter 8910-03-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-88,chapter/return-of-immortal-emperor/chapter-88,#88 - Chapter 8809-29-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-87,chapter/return-of-immortal-emperor/chapter-87,#87 - Chapter 8709-27-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-86,chapter/return-of-immortal-emperor/chapter-86,#86 - Chapter 8609-23-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-85,chapter/return-of-immortal-emperor/chapter-85,#85 - Chapter 8509-20-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-84,chapter/return-of-immortal-emperor/chapter-84,#84 - Chapter 8409-17-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-83,chapter/return-of-immortal-emperor/chapter-83,#83 - Chapter 8309-14-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-82,chapter/return-of-immortal-emperor/chapter-82,#82 - Chapter 8209-10-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-81,chapter/return-of-immortal-emperor/chapter-81,#81 - Chapter 8109-08-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-80,chapter/return-of-immortal-emperor/chapter-80,#80 - Chapter 8009-05-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-79,chapter/return-of-immortal-emperor/chapter-79,#79 - Chapter 7909-02-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-78,chapter/return-of-immortal-emperor/chapter-78,#78 - Chapter 7808-31-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-77,chapter/return-of-immortal-emperor/chapter-77,#77 - Chapter 7708-28-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-76,chapter/return-of-immortal-emperor/chapter-76,#76 - Chapter 7608-25-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-75,chapter/return-of-immortal-emperor/chapter-75,#75 - Chapter 7508-23-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-74,chapter/return-of-immortal-emperor/chapter-74,#74 - Chapter 7408-20-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-73,chapter/return-of-immortal-emperor/chapter-73,#73 - Chapter 7308-16-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-72,chapter/return-of-immortal-emperor/chapter-72,#72 - Chapter 7208-12-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-71,chapter/return-of-immortal-emperor/chapter-71,#71 - Chapter 7108-12-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-70,chapter/return-of-immortal-emperor/chapter-70,#70 - Chapter 7008-09-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-69,chapter/return-of-immortal-emperor/chapter-69,#69 - Chapter 6908-07-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-68,chapter/return-of-immortal-emperor/chapter-68,#68 - Chapter 6808-04-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-67,chapter/return-of-immortal-emperor/chapter-67,#67 - Chapter 6708-02-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-66,chapter/return-of-immortal-emperor/chapter-66,#66 - Chapter 6607-31-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-65,chapter/return-of-immortal-emperor/chapter-65,#65 - Chapter 6507-29-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-64,chapter/return-of-immortal-emperor/chapter-64,#64 - Chapter 6407-26-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-63,chapter/return-of-immortal-emperor/chapter-63,#63 - Chapter 6307-23-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-62,chapter/return-of-immortal-emperor/chapter-62,#62 - Chapter 6207-20-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-61,chapter/return-of-immortal-emperor/chapter-61,#61 - Chapter 6107-18-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-60,chapter/return-of-immortal-emperor/chapter-60,#60 - Chapter 6007-18-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-59,chapter/return-of-immortal-emperor/chapter-59,#59 - Chapter 5907-08-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-58,chapter/return-of-immortal-emperor/chapter-58,#58 - Chapter 5807-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-57,chapter/return-of-immortal-emperor/chapter-57,#57 - Chapter 5707-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-56,chapter/return-of-immortal-emperor/chapter-56,#56 - Chapter 5607-03-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-55,chapter/return-of-immortal-emperor/chapter-55,#55 - Chapter 5506-24-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-54,chapter/return-of-immortal-emperor/chapter-54,#54 - Chapter 5406-23-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-53,chapter/return-of-immortal-emperor/chapter-53,#53 - Chapter 5306-10-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-52,chapter/return-of-immortal-emperor/chapter-52,#52 - Chapter 5206-02-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-51,chapter/return-of-immortal-emperor/chapter-51,#51 - Chapter 5105-25-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-50,chapter/return-of-immortal-emperor/chapter-50,#50 - Chapter 5005-18-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-49,chapter/return-of-immortal-emperor/chapter-49,#49 - Chapter 4905-11-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-48,chapter/return-of-immortal-emperor/chapter-48,#48 - Chapter 4805-04-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-47,chapter/return-of-immortal-emperor/chapter-47,#47 - Chapter 4704-28-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-46,chapter/return-of-immortal-emperor/chapter-46,#46 - Chapter 4604-27-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-45,chapter/return-of-immortal-emperor/chapter-45,#45 - Chapter 4504-24-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-44,chapter/return-of-immortal-emperor/chapter-44,#44 - Chapter 4404-22-2020,true,178,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-43,chapter/return-of-immortal-emperor/chapter-43,#43 - Chapter 4304-20-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-42,chapter/return-of-immortal-emperor/chapter-42,#42 - Chapter 4204-17-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-41,chapter/return-of-immortal-emperor/chapter-41,#41 - Chapter 4104-17-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-40,chapter/return-of-immortal-emperor/chapter-40,#40 - Chapter 4004-16-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-39,chapter/return-of-immortal-emperor/chapter-39,#39 - Chapter 3904-16-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-38,chapter/return-of-immortal-emperor/chapter-38,#38 - Chapter 3804-15-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-37,chapter/return-of-immortal-emperor/chapter-37,#37 - Chapter 3704-15-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-36,chapter/return-of-immortal-emperor/chapter-36,#36 - Chapter 3604-15-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-35,chapter/return-of-immortal-emperor/chapter-35,#35 - Chapter 3504-14-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-34,chapter/return-of-immortal-emperor/chapter-34,#34 - Chapter 3404-14-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-33,chapter/return-of-immortal-emperor/chapter-33,#33 - Chapter 3304-14-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-32,chapter/return-of-immortal-emperor/chapter-32,#32 - Chapter 3204-14-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-31,chapter/return-of-immortal-emperor/chapter-31,#31 - Chapter 3104-14-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-30,chapter/return-of-immortal-emperor/chapter-30,#30 - Chapter 3004-14-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-29,chapter/return-of-immortal-emperor/chapter-29,#29 - Chapter 2904-06-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-28,chapter/return-of-immortal-emperor/chapter-28,#28 - Chapter 2803-30-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-27,chapter/return-of-immortal-emperor/chapter-27,#27 - Chapter 2703-23-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-26,chapter/return-of-immortal-emperor/chapter-26,#26 - Chapter 2603-16-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-25,chapter/return-of-immortal-emperor/chapter-25,#25 - Chapter 2503-09-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-24,chapter/return-of-immortal-emperor/chapter-24,#24 - Chapter 2403-09-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-23,chapter/return-of-immortal-emperor/chapter-23,#23 - Chapter 2303-02-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-22,chapter/return-of-immortal-emperor/chapter-22,#22 - Chapter 2202-24-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-21,chapter/return-of-immortal-emperor/chapter-21,#21 - Chapter 2102-17-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-20,chapter/return-of-immortal-emperor/chapter-20,#20 - Chapter 2002-17-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-19,chapter/return-of-immortal-emperor/chapter-19,#19 - Chapter 1902-10-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-18,chapter/return-of-immortal-emperor/chapter-18,#18 - Chapter 1802-03-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-17,chapter/return-of-immortal-emperor/chapter-17,#17 - Chapter 1701-27-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-16,chapter/return-of-immortal-emperor/chapter-16,#16 - Chapter 1601-20-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-15,chapter/return-of-immortal-emperor/chapter-15,#15 - Chapter 1501-14-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-14,chapter/return-of-immortal-emperor/chapter-14,#14 - Ch.01401-07-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-13,chapter/return-of-immortal-emperor/chapter-13,#13 - Chapter 1301-05-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-12,chapter/return-of-immortal-emperor/chapter-12,#12 - Chapter 1201-01-2020,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-11,chapter/return-of-immortal-emperor/chapter-11,#11 - Chapter 1112-26-2019,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-10,chapter/return-of-immortal-emperor/chapter-10,#10 - Chapter 1012-25-2019,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-9,chapter/return-of-immortal-emperor/chapter-9,#9 - Chapter 912-18-2019,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-8,chapter/return-of-immortal-emperor/chapter-8,#8 - Chapter 812-10-2019,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-7,chapter/return-of-immortal-emperor/chapter-7,#7 - Chapter 712-02-2019,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-6,chapter/return-of-immortal-emperor/chapter-6,#6 - Chapter 611-26-2019,true,179,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-5,chapter/return-of-immortal-emperor/chapter-5,#5 - Chapter 511-21-2019,true,179,true,true
