hrefUrl, isChapter, isChildLink, similarHrefCount, containsChapter, endsWithNumber
<html lang=,false,false,0,false,false
/manifest.json,false,false,0,false,false
//go.bebi.com,false,false,0,false,false
https://st.bebi.com/bebi_v3.js,false,false,1,false,true
//s11.mangareader.net/images/icons/appletouch.png,false,false,1,false,true
//s11.mangareader.net/favicon.ico,false,false,1,false,true
#main,false,false,0,false,false
/search,false,false,0,false,false
/popular,false,false,4,false,false
/alphabetical,false,false,0,false,false
https://erogames.com,false,false,2,false,false
/latest,false,false,0,false,false
/random,false,false,0,false,false
http://www.animefreak.tv,false,false,1,false,false
mailto:info@mangareader.net,false,false,0,false,false
/popular/comedy,false,false,4,false,false
/popular/fantasy,false,false,4,false,false
/popular/historical,false,false,4,false,false
/popular/romance,false,false,4,false,false
/the-lady-and-the-beast/36,true,true,35,false,true
/the-lady-and-the-beast/35,true,true,35,false,true
/the-lady-and-the-beast/34,true,true,35,false,true
/the-lady-and-the-beast/33,true,true,35,false,true
/the-lady-and-the-beast/32,true,true,35,false,true
/the-lady-and-the-beast/31,true,true,35,false,true
/the-lady-and-the-beast/1,true,true,35,false,true
/the-lady-and-the-beast/2,true,true,35,false,true
/the-lady-and-the-beast/3,true,true,35,false,true
/the-lady-and-the-beast/4,true,true,35,false,true
/the-lady-and-the-beast/5,true,true,35,false,true
/the-lady-and-the-beast/6,true,true,35,false,true
/the-lady-and-the-beast/7,true,true,35,false,true
/the-lady-and-the-beast/8,true,true,35,false,true
/the-lady-and-the-beast/9,true,true,35,false,true
/the-lady-and-the-beast/10,true,true,35,false,true
/the-lady-and-the-beast/11,true,true,35,false,true
/the-lady-and-the-beast/12,true,true,35,false,true
/the-lady-and-the-beast/13,true,true,35,false,true
/the-lady-and-the-beast/14,true,true,35,false,true
/the-lady-and-the-beast/15,true,true,35,false,true
/the-lady-and-the-beast/16,true,true,35,false,true
/the-lady-and-the-beast/17,true,true,35,false,true
/the-lady-and-the-beast/18,true,true,35,false,true
/the-lady-and-the-beast/19,true,true,35,false,true
/the-lady-and-the-beast/20,true,true,35,false,true
/the-lady-and-the-beast/21,true,true,35,false,true
/the-lady-and-the-beast/22,true,true,35,false,true
/the-lady-and-the-beast/23,true,true,35,false,true
/the-lady-and-the-beast/24,true,true,35,false,true
/the-lady-and-the-beast/25,true,true,35,false,true
/the-lady-and-the-beast/26,true,true,35,false,true
/the-lady-and-the-beast/27,true,true,35,false,true
/the-lady-and-the-beast/28,true,true,35,false,true
/the-lady-and-the-beast/29,true,true,35,false,true
/the-lady-and-the-beast/30,true,true,35,false,true
