hrefUrl, isChapter, isChildLink, similarHrefCount, containsChapter, endsWithNumber
<html><head>    <meta charset=,false,false,0,false,false
//static.animemark.com/img/batoto/favicon.ico?v0,false,false,4,false,true
//static.animemark.com/img/batoto/favicon.gif?v0,false,false,4,false,true
//static.animemark.com/ss/25/batoto-light.css,false,false,4,false,true
//static.animemark.com/emojis/twtr.css?v25,false,false,4,false,true
//static.animemark.com/3rds/fontawesome-free-5.9.0-web/css/all.min.css,false,false,4,false,true
https://bato.to/series/81219,false,false,1,false,true
https://c.disquscdn.com/next/embed/styles/lounge.2a0be1cac62547aa91037395a06bf8b3.css,false,false,3,false,true
https://c.disquscdn.com/next/embed/common.bundle.d5bc59d0180bbc154286a8e417e4c4bc.js,false,false,2,false,true
https://c.disquscdn.com/next/embed/lounge.bundle.7d72841d9245e018db276c51b9667402.js,false,false,3,false,true
https://disqus.com/next/config.js,false,false,3,false,false
/latest,false,false,0,false,false
/browse,false,false,0,false,false
/search,false,false,1,false,false
/random,false,false,0,false,false
/my/history,false,false,0,false,false
/my/latest-update,false,false,0,false,false
//publish.bato.to/editor-subject,false,false,0,false,false
https://bato.to/discord,false,false,2,false,false
/settings,false,false,0,false,false
//id.bato.to/login,false,false,0,false,false
/series/81219/once-more-official,false,true,0,false,true
/rss/series/81219.xml,false,false,0,false,true
/search?word=Han Xu,false,false,1,false,false
/chapter/1571778,true,false,57,true,true
/user/403889,false,false,0,false,true
/chapter/1571777,true,false,57,true,true
/chapter/1566112,true,false,57,true,true
/chapter/1566110,true,false,57,true,true
/chapter/1561159,true,false,57,true,true
/chapter/1559243,true,false,57,true,true
/chapter/1556248,true,false,57,true,true
/chapter/1556246,true,false,57,true,true
/chapter/1550186,true,false,57,true,true
/chapter/1549052,true,false,57,true,true
/chapter/1549050,true,false,57,true,true
/chapter/1549049,true,false,57,true,true
/chapter/1549047,true,false,57,true,true
/chapter/1549046,true,false,57,true,true
/chapter/1549045,true,false,57,true,true
/chapter/1549044,true,false,57,true,true
/chapter/1549042,true,false,57,true,true
/chapter/1549041,true,false,57,true,true
/chapter/1549040,true,false,57,true,true
/chapter/1549039,true,false,57,true,true
/chapter/1549038,true,false,57,true,true
/chapter/1549037,true,false,57,true,true
/chapter/1548690,true,false,57,true,true
/chapter/1548689,true,false,57,true,true
/chapter/1548688,true,false,57,true,true
/chapter/1548687,true,false,57,true,true
/chapter/1548686,true,false,57,true,true
/chapter/1548274,true,false,57,true,true
/chapter/1548273,true,false,57,true,true
/chapter/1548272,true,false,57,true,true
/chapter/1548271,true,false,57,true,true
/chapter/1548270,true,false,57,true,true
/chapter/1548269,true,false,57,true,true
/chapter/1548268,true,false,57,true,true
/chapter/1548267,true,false,57,true,true
/chapter/1548265,true,false,57,true,true
/chapter/1548263,true,false,57,true,true
/chapter/1548260,true,false,57,true,true
/chapter/1548259,true,false,57,true,true
/chapter/1548257,true,false,57,true,true
/chapter/1548254,true,false,57,true,true
/chapter/1548252,true,false,57,true,true
/chapter/1548249,true,false,57,true,true
/chapter/1548245,true,false,57,true,true
/chapter/1548244,true,false,57,true,true
/chapter/1548243,true,false,57,true,true
/chapter/1548242,true,false,57,true,true
/chapter/1548240,true,false,57,true,true
/chapter/1548239,true,false,57,true,true
/chapter/1548238,true,false,57,true,true
/chapter/1548236,true,false,57,true,true
/chapter/1548237,true,false,57,true,true
/chapter/1548232,true,false,57,true,true
/chapter/1548233,true,false,57,true,true
/chapter/1548231,true,false,57,true,true
/chapter/1548230,true,false,57,true,true
/chapter/1548228,true,false,57,true,true
/chapter/1548226,true,false,57,true,true
/instructions,false,false,0,false,false
mailto:info@animemark.com?subject=[Bato.To] ,false,false,0,false,false
//AnimeMark.com,false,false,0,false,false
